wall,clock_sim,pose_stamp,x,y
122152.239873428,0.529999988,0.529999988,5.061951637268066,10.499991416931152
122152.290062206,0.579999987,0.579999987,5.071949481964111,10.499992370605469
122152.35141488,0.6299999860000001,0.6299999860000001,5.081943988800049,10.499993324279785
122152.398913495,0.679999985,0.679999985,5.091938495635986,10.499992370605469
122152.45685774,0.729999984,0.729999984,5.101934432983398,10.499992370605469
122152.512170762,0.7799999830000001,0.7799999830000001,5.11192512512207,10.499992370605469
122152.56207608,0.829999981,0.829999981,5.121920585632324,10.499994277954102
122152.612872925,0.87999998,0.87999998,5.1319169998168945,10.499995231628418
122152.67423197,0.9299999790000001,0.9299999790000001,5.141911506652832,10.49999713897705
122152.721891044,0.979999978,0.979999978,5.151909351348877,10.500000953674316
122152.77945339,1.029999977,1.029999977,5.16190242767334,10.500001907348633
122152.834779982,1.079999976,1.079999976,5.171898365020752,10.500000953674316
122152.888884618,1.129999975,1.129999975,5.181893348693848,10.500001907348633
122153.264443367,1.179999974,1.179999974,5.191890716552734,10.500001907348633
122153.325941682,1.229999973,1.229999973,5.201885223388672,10.500000953674316
122153.374228484,1.279999971,1.279999971,5.211878299713135,10.5
122153.4319233,1.32999997,1.32999997,5.2218756675720215,10.499999046325684
122153.489649435,1.379999969,1.379999969,5.231870174407959,10.499999046325684
122153.542567464,1.429999968,1.429999968,5.241862773895264,10.499999046325684
122153.592253853,1.479999967,1.479999967,5.251856327056885,10.499999046325684
122153.651886533,1.529999966,1.529999966,5.261849880218506,10.500000953674316
122153.699400427,1.579999965,1.579999965,5.271844387054443,10.50000286102295
122153.755342348,1.629999964,1.629999964,5.281839847564697,10.50000286102295
122153.824995069,1.6799999620000001,1.6799999620000001,5.291835784912109,10.50000286102295
122153.876126903,1.729999961,1.729999961,5.301829814910889,10.500003814697266
122153.925584642,1.77999996,1.77999996,5.311823844909668,10.500003814697266
122153.98615013,1.829999959,1.829999959,5.321819305419922,10.500000953674316
122154.033175126,1.879999958,1.879999958,5.331811904907227,10.500000953674316
122154.08779492,1.9299999570000002,1.9299999570000002,5.341807842254639,10.500000953674316
122154.14366861,1.9799999560000001,1.9799999560000001,5.351801872253418,10.5
122154.193576198,2.029999955,2.029999955,5.361794948577881,10.500000953674316
