wall,clock_sim,pose_stamp,x,y
122126.373628366,0.32999999300000005,0.32999999300000005,5.02197790145874,10.499999046325684
122126.420770641,0.379999992,0.379999992,5.031973361968994,10.499994277954102
122126.472758793,0.42999999000000005,0.42999999000000005,5.041967868804932,10.499994277954102
122126.594793593,0.479999989,0.479999989,5.051961421966553,10.499991416931152
122126.647333873,0.529999988,0.529999988,5.061951637268066,10.499991416931152
122126.694676837,0.579999987,0.579999987,5.071949481964111,10.499992370605469
122126.746671108,0.6299999860000001,0.6299999860000001,5.081943988800049,10.499993324279785
122126.799230598,0.679999985,0.679999985,5.091938495635986,10.499992370605469
122126.852360956,0.729999984,0.729999984,5.101934432983398,10.499992370605469
122126.899148872,0.7799999830000001,0.7799999830000001,5.11192512512207,10.499992370605469
122126.951847891,0.829999981,0.829999981,5.121920585632324,10.499994277954102
122127.002933965,0.87999998,0.87999998,5.1319169998168945,10.499995231628418
122127.055871274,0.9299999790000001,0.9299999790000001,5.141911506652832,10.49999713897705
122127.103415157,0.979999978,0.979999978,5.151909351348877,10.500000953674316
122127.155653038,1.029999977,1.029999977,5.16190242767334,10.500001907348633
122127.207610169,1.079999976,1.079999976,5.171898365020752,10.500000953674316
122127.25979726,1.129999975,1.129999975,5.181893348693848,10.500001907348633
122127.307512573,1.179999974,1.179999974,5.191890716552734,10.500001907348633
122127.359902983,1.229999973,1.229999973,5.201885223388672,10.500000953674316
122127.408677824,1.279999971,1.279999971,5.211878299713135,10.5
122127.46217997,1.32999997,1.32999997,5.2218756675720215,10.499999046325684
122127.508812407,1.379999969,1.379999969,5.231870174407959,10.499999046325684
122127.561937395,1.429999968,1.429999968,5.241862773895264,10.499999046325684
122127.611333914,1.479999967,1.479999967,5.251856327056885,10.499999046325684
122127.664060313,1.529999966,1.529999966,5.261849880218506,10.500000953674316
122127.711545397,1.579999965,1.579999965,5.271844387054443,10.50000286102295
122127.764232646,1.629999964,1.629999964,5.281839847564697,10.50000286102295
122127.816946525,1.6799999620000001,1.6799999620000001,5.291835784912109,10.50000286102295
122127.868523867,1.729999961,1.729999961,5.301829814910889,10.500003814697266
122127.918007456,1.77999996,1.77999996,5.311823844909668,10.500003814697266
122127.968377962,1.829999959,1.829999959,5.321819305419922,10.500000953674316
