run,seed,rep,cond,obs,c_min,t_min,pre_vyb,pre_ang,core_vyb,core_ang,post_vyb,post_ang
isaac_bigarena_gmpc_scan__seed10__c10_s10_r1_off_050145,10,r1,off,dyn_obs_8,0.43204393499144905,22.999999485961467,0.13126602169695,144.499741556031,0.11931075895361509,147.65343726406633,0.1272905456798436,148.11198140074555
isaac_bigarena_gmpc_scan__seed10__c10_s10_r2_off_052525,10,r2,off,dyn_obs_8,0.42353082791071656,23.399999477309137,0.13337683890495644,143.1687934504003,0.11547526352803344,145.35598359924285,0.08436823446413383,158.91761793986842
isaac_bigarena_gmpc_scan__seed18__c10_s18_r1_off_044217,18,r1,off,dyn_obs_0,0.15233737172414358,31.22999930216517,0.011687088409819758,176.79780954909154,0.2072544781639658,108.45609391099248,0.20679516508517556,115.25881755979309
isaac_bigarena_gmpc_scan__seed18__c10_s18_r1_off_044217,18,r1,off,dyn_obs_1,0.3861864513413665,57.57999871316517,0.027349517304301338,173.40447422707433,0.04115400863556673,169.3251721600448,0.17404955998653215,128.38386253042555
isaac_bigarena_gmpc_scan__seed18__c10_s18_r1_off_044217,18,r1,off,dyn_obs_3,0.06291279542424427,26.529999407165178,0.10067683952957754,154.03404832998467,0.06501976722525245,162.90525198026228,0.1911691155836499,122.79622846091824
isaac_bigarena_gmpc_scan__seed18__c10_s18_r2_off_045627,18,r2,off,dyn_obs_0,0.16840150244862878,31.31999929944493,0.021279699318642716,174.36093676861833,0.2047033721843011,111.2692094850897,0.20752472571836195,113.99344990511878
isaac_bigarena_gmpc_scan__seed18__c10_s18_r2_off_045627,18,r2,off,dyn_obs_1,0.3492357145403127,56.46999873744494,0.03336399118753393,171.57736548430918,0.04203529544524692,169.55038235727736,0.15958769303368397,136.55659974220708
isaac_bigarena_gmpc_scan__seed18__c10_s18_r2_off_045627,18,r2,off,dyn_obs_3,0.062256334031200844,26.419999409444927,0.08418959463942274,155.85437321149413,0.05039199349394054,167.3212134222594,0.19299881227268723,117.26709110218749
isaac_bigarena_gmpc_scan__seed23__c10_s23_r1_off_062100,23,r1,off,dyn_obs_1,0.24059864114969515,72.70999837432282,0.13113584886617352,145.63868172808827,0.177510712983108,123.18957610375173,0.1072478629658545,148.5769126155389
isaac_bigarena_gmpc_scan__seed23__c10_s23_r1_off_062100,23,r1,off,dyn_obs_7,0.40328769466922837,34.35999923232282,0.1665089742884116,130.49076816119498,0.07611848413390362,159.20453088414743,0.1656831086412457,134.6427674678318
isaac_bigarena_gmpc_scan__seed23__c10_s23_r2_off_063736,23,r2,off,dyn_obs_7,0.3991257777796225,34.5199992282169,0.17450928875819913,129.19577771853974,0.07651073265163574,160.78499191283788,0.1665010572565227,135.5109118374333
isaac_bigarena_gmpc_scan__seed27__c10_s27_r1_off_042108,27,r1,off,dyn_obs_1,0.10305379194631142,22.069999507179006,0.21644382759112585,86.34867732517765,0.18507108175859635,56.63929654385674,0.22157675013404568,83.01607447657541
isaac_bigarena_gmpc_scan__seed27__c10_s27_r2_off_043644,27,r2,off,dyn_obs_1,0.0861501577213395,23.18999948139978,0.21456955254645674,85.50245606091772,0.18016574238202213,54.57103866246331,0.2212271123925882,82.56976435548438
isaac_bigarena_gmpc_scan__seed29__c10_s29_r1_off_072400,29,r1,off,dyn_obs_0,0.05105955577553151,16.16999963865547,0.14836602256385695,135.9051448213591,0.11184083352056519,30.273198580232357,0.2090148071406463,71.3104753333046
isaac_bigarena_gmpc_scan__seed29__c10_s29_r1_off_072400,29,r1,off,dyn_obs_3,0.07500818805025883,9.019999798655476,0.12274798682073979,34.23874625559117,0.12207358657538822,44.65498139051658,0.1144754137760124,32.485970795976385
isaac_bigarena_gmpc_scan__seed29__c10_s29_r1_off_072400,29,r1,off,dyn_obs_4,0.014915653299627518,104.36999766665548,0.2148289906519994,80.43052436268134,0.13761745700049616,39.118350546849214,nan,nan
isaac_bigarena_gmpc_scan__seed29__c10_s29_r2_off_074252,29,r2,off,dyn_obs_0,0.03968940775882984,16.599999628784587,0.15591216781094624,132.44443427740393,0.09911764328098494,26.187750847264155,0.2026367438622249,63.51668821065302
isaac_bigarena_gmpc_scan__seed29__c10_s29_r2_off_074252,29,r2,off,dyn_obs_3,0.07783812404086482,8.59999980778457,0.19074465897561005,58.49296312881705,0.09256228183886775,38.28890473182358,0.10444397019131682,27.892552993202074
isaac_bigarena_gmpc_scan__seed29__c10_s29_r2_off_074252,29,r2,off,dyn_obs_4,1.3782949702334513e-05,104.7499976587846,0.21044945670681586,76.87672055259983,0.1526669541197776,43.343083985787814,nan,nan
isaac_bigarena_gmpc_scan__seed2__c10_s2_r2_off_061347,2,r2,off,dyn_obs_0,0.35394167171909646,116.23999740227387,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan__seed2__c10_s2_r2_off_061347,2,r2,off,dyn_obs_0,0.3524481069469217,163.98999633427388,nan,nan,nan,nan,nan,nan
isaac_bigarena_gmpc_scan__seed2__c10_s2_r2_off_061347,2,r2,off,dyn_obs_1,0.12649493583546567,73.93999834727387,0.15511515360793154,136.9630571051057,0.18364938762482336,125.48936503453501,0.17861296941342247,124.28373438075126
isaac_bigarena_gmpc_scan__seed2__c10_s2_r2_off_061347,2,r2,off,dyn_obs_4,0.3388602710106919,34.48999922927385,0.1971339084818216,113.26086685080091,0.1857890343772141,124.67388319143895,0.13643516500031122,142.162591474352
