step,t,base_x,base_y,base_z,base_yaw_deg,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6
0,10.49000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021202,1.051748753,1.724584579,0.000450154,-0.894473553,-1.570632577,0.000096552,-0.015480073,0.006047168,-0.004334051,-0.005935397,-0.001685207,0.000014,-14.337584,6.113484,0.274907,-0.536147,0.067335
1,10.50000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021203,1.051748872,1.724584699,0.000450148,-0.894473314,-1.570632219,0.000094626,-0.015486627,0.006072608,-0.004379477,-0.004423386,-0.000872397,0.000016,-14.337554,6.113463,0.274908,-0.536144,0.067335
2,10.51000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021204,1.051748991,1.724584818,0.000450147,-0.894473255,-1.570632339,0.000094527,-0.015486697,0.006074290,-0.004382032,-0.004418185,-0.000869758,0.000013,-14.337603,6.113500,0.274907,-0.536149,0.067335
3,10.52000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749110,1.724584937,0.000450137,-0.894472897,-1.570631981,0.000096677,-0.015481111,0.006046311,-0.004332843,-0.005900173,-0.001666086,0.000016,-14.337537,6.113453,0.274908,-0.536143,0.067335
4,10.53000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749229,1.724585056,0.000450145,-0.894472957,-1.570632935,0.000096481,-0.015480938,0.006049687,-0.004337612,-0.005930454,-0.001682685,0.000012,-14.337656,6.113533,0.274907,-0.536153,0.067335
5,10.54000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749349,1.724585176,0.000450151,-0.894473076,-1.570633292,0.000096502,-0.015480947,0.006049914,-0.004337195,-0.005911978,-0.001672167,0.000014,-14.337560,6.113472,0.274908,-0.536146,0.067335
6,10.55000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749468,1.724585295,0.000450159,-0.894473195,-1.570633769,0.000096501,-0.015481202,0.006050641,-0.004338024,-0.005912165,-0.001672195,0.000015,-14.337600,6.113490,0.274908,-0.536148,0.067335
7,10.56000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749587,1.724585414,0.000450164,-0.894473314,-1.570633531,0.000096594,-0.015481480,0.006049777,-0.004336369,-0.005909435,-0.001670409,0.000015,-14.337558,6.113466,0.274907,-0.536145,0.067335
8,10.57000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749706,1.724585533,0.000450172,-0.894473553,-1.570634007,0.000096552,-0.015481763,0.006050732,-0.004337949,-0.005915113,-0.001673636,0.000014,-14.337611,6.113497,0.274907,-0.536148,0.067335
9,10.58000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021205,1.051749825,1.724585652,0.000450176,-0.894473672,-1.570633769,0.000096629,-0.015482089,0.006049884,-0.004336449,-0.005897535,-0.001663907,0.000015,-14.337552,6.113461,0.274907,-0.536144,0.067335
10,10.59000,10.50000000,8.08969975,0.00000000,90.0000077,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021206,1.051749945,1.724585772,0.000450174,-0.894473612,-1.570633411,0.000096745,-0.015482219,0.006048472,-0.004334564,-0.005922365,-0.001677324,0.000016,-14.337555,6.113461,0.274907,-0.536144,0.067335
