frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
16.5,16.5,-0.001,postengage,0.00019419,5e-08
16.5333,16.54,-0.001,postengage,0.00019416,5e-08
16.5667,16.57,-0.001,postengage,0.00019416,5e-08
16.6,16.6,-0.001,postengage,0.00019424,5e-08
16.6333,16.64,-0.001,postengage,0.00019424,5e-08
16.6667,16.67,-0.001,postengage,0.00019424,5e-08
16.7,16.7,-0.001,postengage,0.00019424,5e-08
16.7333,16.74,-0.001,pull,0.00019424,5e-08
16.7667,16.77,-0.001,pull,0.00019419,5e-08
16.8,16.8,0.002,pull,0.00019418,9e-08
16.8333,16.84,0.026,pull,0.00019421,2.5e-07
16.8667,16.87,0.059,pull,0.00019417,1.3e-07
16.9,16.9,0.099,pull,0.00019414,1.8e-07
16.9333,16.94,0.176,pull,0.00019403,4.3e-07
16.9667,16.97,0.253,pull,0.00019393,2.8e-07
17.0,17.0,0.34,pull,0.00019377,4.6e-07
17.0333,17.04,0.476,pull,0.00019349,1.2e-07
17.0667,17.07,0.616,pull,0.00019317,7e-08
17.1,17.1,0.751,pull,0.00019287,4.6e-07
17.1333,17.14,0.966,pull,0.00019203,7e-08
17.1667,17.17,1.143,pull,0.00019192,4.6e-07
17.2,17.2,1.337,pull,0.00019164,5e-08
17.2333,17.24,1.624,pull,0.00019103,1.1e-07
17.2667,17.27,1.872,pull,0.0001905,6e-08
17.3,17.3,2.126,pull,0.00019002,2.6e-07
17.3333,17.34,2.482,pull,0.00018925,4.1e-07
17.3667,17.37,2.784,pull,0.00018856,2.2e-07
17.4,17.4,3.086,pull,0.00018798,9e-08
17.4333,17.44,3.531,pull,0.00018736,4.6e-07
17.4667,17.47,3.886,pull,0.00018639,2.2e-07
17.5,17.5,4.254,pull,0.00018574,3.4e-07
17.5333,17.54,4.774,pull,0.00018487,9e-08
17.5667,17.57,5.197,pull,0.00018381,4.3e-07
17.6,17.6,5.618,pull,0.00018345,1e-07
17.6333,17.64,6.226,pull,0.00018235,4.1e-07
17.6667,17.67,6.708,pull,0.00018153,1.5e-07
17.7,17.7,7.187,pull,0.00018036,1.1e-07
17.7333,17.74,7.87,pull,0.00017991,2.8e-07
17.7667,17.77,8.419,pull,0.00017868,4e-08
17.8,17.8,8.965,pull,0.00017775,4.6e-07
17.8333,17.84,9.7,pull,0.00017648,1.8e-07
17.8667,17.87,10.249,pull,0.00017555,1.4e-07
17.9,17.9,10.793,pull,0.00017476,2.7e-07
17.9333,17.94,11.492,pull,0.00017343,2.2e-07
17.9667,17.97,12.026,pull,0.00017245,1.7e-07
18.0,18.0,12.52,pull,0.00017167,1.6e-07
18.0333,18.04,13.181,pull,0.00017062,2.7e-07
18.0667,18.07,13.657,pull,0.00016973,3.8e-07
18.1,18.1,14.117,pull,0.00016912,2.4e-07
18.1333,18.14,14.698,pull,0.00016809,3e-08
18.1667,18.17,15.131,pull,0.00016745,0.0
18.2,18.2,15.521,pull,0.00016691,5e-08
18.2333,18.24,16.037,pull,0.00016593,1e-08
18.2667,18.27,16.403,pull,0.00016532,2e-07
18.3,18.3,16.744,pull,0.00016493,3.4e-07
18.3333,18.34,17.173,pull,0.00016425,1.9e-07
18.3667,18.37,17.483,pull,0.00016395,2.4e-07
18.4,18.4,17.774,pull,0.00016354,3.7e-07
18.4333,18.44,18.131,pull,0.00016296,2.6e-07
18.4667,18.47,18.383,pull,0.00016288,3e-08
18.5,18.5,18.596,pull,0.00016256,3e-07
18.5333,18.54,18.873,pull,0.00016204,2.1e-07
18.5667,18.57,19.06,pull,0.00016182,1.3e-07
18.6,18.6,19.225,pull,0.00016166,1.2e-07
18.6333,18.64,19.412,pull,0.00016131,4e-08
18.6667,18.67,19.532,pull,0.00016114,2e-07
18.7,18.7,19.64,pull,0.00016102,3e-08
18.7333,18.74,19.752,pull,0.00016099,4.5e-07
18.7667,18.77,19.812,hold,0.00016088,3.7e-07
18.8,18.8,19.855,hold,0.00016089,4.5e-07
18.8333,18.84,19.895,hold,0.00016068,4e-07
18.8667,18.87,19.916,hold,0.00016062,4.2e-07
18.9,18.9,19.933,hold,0.00016065,2.5e-07
18.9333,18.94,19.95,hold,0.00016051,9e-08
18.9667,18.97,19.96,hold,0.00016049,4e-07
19.0,19.0,19.967,hold,0.00016054,8e-08
19.0333,19.04,19.974,hold,0.0001605,2.5e-07
19.0667,19.07,19.977,hold,0.0001605,3.8e-07
19.1,19.1,19.979,hold,0.00016054,4.8e-07
19.1333,19.14,19.983,hold,0.00016053,2.9e-07
19.1667,19.17,19.984,hold,0.00016052,2.5e-07
19.2,19.2,19.984,hold,0.00016052,2.5e-07
19.2333,19.24,19.985,hold,0.00016054,2e-07
19.2667,19.27,19.986,hold,0.00016051,1.5e-07
19.3,19.3,19.986,hold,0.00016054,1.5e-07
19.3333,19.34,19.987,hold,0.00016053,1.1e-07
19.3667,19.37,19.988,hold,0.00016052,6e-08
19.4,19.4,19.987,hold,0.00016052,1.1e-07
19.4333,19.44,19.987,hold,0.00016052,1.1e-07
19.4667,19.47,19.987,hold,0.00016052,1.1e-07
19.5,19.5,19.987,hold,0.00016052,1.1e-07
19.5333,19.54,19.986,hold,0.00016052,1.5e-07
19.5667,19.57,19.987,hold,0.00016052,1.1e-07
19.6,19.6,19.987,hold,0.00016052,1.1e-07
19.6333,19.64,19.986,hold,0.00016052,1.5e-07
19.6667,19.67,19.986,hold,0.0001605,1.5e-07
19.7,19.7,19.988,hold,0.0001605,6e-08
19.7333,19.74,19.987,hold,0.0001605,1.1e-07
19.7667,19.77,19.987,hold,0.0001605,1.1e-07
19.8,19.8,19.985,hold,0.0001605,2e-07
19.8333,19.84,19.987,hold,0.0001605,1.1e-07
19.8667,19.87,19.987,hold,0.0001605,1.1e-07
19.9,19.9,19.988,hold,0.0001605,6e-08
19.9333,19.94,19.987,hold,0.0001605,1.1e-07
19.9667,19.97,19.986,hold,0.0001605,1.5e-07
20.0,20.0,19.987,hold,0.0001605,1.1e-07
20.0333,20.04,19.988,hold,0.0001605,6e-08
20.0667,20.07,19.988,hold,0.0001605,6e-08
20.1,20.1,19.988,hold,0.0001605,6e-08
20.1333,20.14,19.988,hold,0.0001605,6e-08
20.1667,20.17,19.986,hold,0.0001605,1.5e-07
20.2,20.2,19.987,hold,0.0001605,1.1e-07
20.2333,20.24,19.987,hold,0.0001605,1.1e-07
20.2667,20.27,19.987,hold,0.0001605,1.1e-07
20.3,20.3,19.987,hold,0.0001605,1.1e-07
20.3333,20.34,19.987,hold,0.0001605,1.1e-07
20.3667,20.37,19.987,hold,0.0001605,1.1e-07
20.4,20.4,19.987,hold,0.0001605,1.1e-07
20.4333,20.44,19.987,hold,0.0001605,1.1e-07
20.4667,20.47,19.986,hold,0.0001605,1.5e-07
20.5,20.5,19.987,hold,0.0001605,1.1e-07
20.5333,20.54,19.986,hold,0.0001605,1.5e-07
20.5667,20.57,19.987,hold,0.0001605,1.1e-07
20.6,20.6,19.987,hold,0.0001605,1.1e-07
20.6333,20.64,19.986,hold,0.0001605,1.5e-07
20.6667,20.67,19.986,hold,0.0001605,1.5e-07
20.7,20.7,19.987,hold,0.0001605,1.1e-07
20.7333,20.74,19.988,hold,0.0001605,6e-08
20.7667,20.78,19.987,release,0.00016051,1.1e-07
20.8,20.8,19.987,release,0.0001605,1.1e-07
20.8333,20.84,19.987,release,0.00016049,1.1e-07
20.8667,20.87,19.987,release,0.00016054,1.1e-07
20.9,20.9,19.987,release,0.00016052,1.1e-07
20.9333,20.94,19.987,release,0.00016052,1.1e-07
20.9667,20.97,19.987,release,0.00016051,1.1e-07
21.0,21.0,19.987,release,0.00016049,1.1e-07
21.0333,21.04,19.987,release,0.00016053,1.1e-07
21.0667,21.07,19.987,release,0.00016051,1.1e-07
21.1,21.1,19.987,release,0.00016052,1.1e-07
21.1333,21.14,19.987,release,0.00016053,1.1e-07
21.1667,21.17,19.987,release,0.0001605,1.1e-07
21.2,21.2,19.987,release,0.00016053,1.1e-07
21.2333,21.24,19.987,release,0.00016051,1.1e-07
21.2667,21.27,19.987,release,0.00016049,1.1e-07
21.3,21.3,19.987,release,0.00016054,1.1e-07
21.3333,21.34,19.987,release,0.00016054,1.1e-07
21.3667,21.37,19.987,release,0.00016054,1.1e-07
21.4,21.4,19.987,release,0.00016054,1.1e-07
21.4333,21.44,19.987,release,0.00016054,1.1e-07
21.4667,21.47,19.987,release,0.00016054,1.1e-07
