frame_t,log_t,opening_mm,phase,readback_dq_rad,readback_dopening_m
59.2667,59.27,0.0,,5.046e-05,0.0
59.3,59.31,0.0,,5.099e-05,0.0
59.3333,59.34,0.0,,5.126e-05,0.0
59.3667,59.37,0.0,,5.171e-05,0.0
59.4,59.41,0.0,,5.224e-05,0.0
59.4333,59.44,0.0,,5.263e-05,0.0
59.4667,59.47,0.0,,5.305e-05,0.0
59.5,59.51,0.0,,5.355e-05,0.0
59.5333,59.54,0.0,,5.394e-05,0.0
59.5667,59.57,0.0,,5.439e-05,0.0
59.6,59.61,0.0,,5.487e-05,0.0
59.6333,59.64,0.0,,5.528e-05,0.0
59.6667,59.67,0.0,,5.555e-05,0.0
59.7,59.71,0.0,,5.609e-05,0.0
59.7333,59.74,0.0,,5.645e-05,0.0
59.7667,59.77,0.0,,5.686e-05,0.0
59.8,59.81,0.0,,5.743e-05,0.0
59.8333,59.84,0.0,,5.785e-05,0.0
59.8667,59.87,0.0,,5.829e-05,0.0
59.9,59.91,0.0,,5.88e-05,0.0
59.9333,59.94,0.0,,5.922e-05,0.0
59.9667,59.97,0.0,,5.966e-05,0.0
60.0,60.01,0.0,,6.02e-05,0.0
60.0333,60.04,0.0,,6.062e-05,0.0
60.0667,60.07,0.0,,6.104e-05,0.0
60.1,60.11,0.0,,6.154e-05,0.0
60.1333,60.14,0.0,,6.19e-05,0.0
60.1667,60.17,0.0,,6.232e-05,0.0
60.2,60.21,0.0,,6.279e-05,0.0
60.2333,60.24,0.0,,6.318e-05,0.0
60.2667,60.27,0.0,,6.351e-05,0.0
60.3,60.31,0.0,,6.396e-05,0.0
60.3333,60.34,0.0,,6.428e-05,0.0
60.3667,60.37,0.0,,6.455e-05,0.0
60.4,60.41,0.0,,6.491e-05,0.0
60.4333,60.44,0.0,,6.521e-05,0.0
60.4667,60.47,0.0,,6.542e-05,0.0
60.5,60.51,0.0,,6.571e-05,0.0
60.5333,60.54,0.0,,6.586e-05,0.0
60.5667,60.57,0.0,,6.61e-05,0.0
60.6,60.61,0.0,,6.634e-05,0.0
60.6333,60.64,0.0,,6.649e-05,0.0
60.6667,60.67,0.0,,6.658e-05,0.0
60.7,60.71,0.0,,6.667e-05,0.0
60.7333,60.74,0.0,,6.682e-05,0.0
