seg,step,t,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6,aeff_joint1,aeff_joint2,aeff_joint3,aeff_joint4,aeff_joint5,aeff_joint6,grav_joint1,grav_joint2,grav_joint3,grav_joint4,grav_joint5,grav_joint6,cor_joint1,cor_joint2,cor_joint3,cor_joint4,cor_joint5,cor_joint6,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz
A,10,5.19000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000019278,1.053123713,1.724494219,0.000433086,-0.894473672,-1.570637584,-0.024025274,-0.114512444,-0.114170134,-0.036416858,-0.115306884,0.019914981,-0.661902,-14.121399,6.017363,0.298388,-0.529595,0.065588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.050709,1.811128,0.000000,-0.004893,-0.008176,-0.012593,0.002215,-0.002521,0.001608,0.00145476,-0.00439785,0.00788094,-0.03485242,-0.00308866,0.00935836
A,11,5.20000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017676,1.053129435,1.724494338,0.000433813,-0.894471884,-1.570636988,0.026504869,0.044117555,0.034017105,0.030579410,-0.078451961,-0.041656487,0.483666,-14.771067,6.192807,0.247720,-0.549635,0.069969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049961,1.810632,0.000000,-0.001574,-0.001384,-0.004198,0.001090,-0.001262,0.000868,-0.00134812,0.00230600,0.01875542,0.00905673,0.02530538,0.00923907
A,12,5.21000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017894,1.053136945,1.724494219,0.000432775,-0.894472897,-1.570638061,-0.013974818,-0.009476655,-0.039795272,-0.088191457,-0.066188782,0.084463842,0.032909,-14.591876,6.238669,0.287084,-0.529448,0.067590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049908,1.810429,0.000000,0.000595,0.000003,-0.001620,0.000787,0.000210,0.000068,0.00055918,0.00371279,0.02382163,-0.00522433,-0.01943151,-0.01708204
A,13,5.22000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017885,1.053128242,1.724494934,0.000433428,-0.894473255,-1.570637822,-0.013838513,0.038810983,0.041636385,-0.062390223,-0.054583684,0.052192379,0.047394,-13.844992,5.969374,0.269548,-0.535861,0.065783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049911,1.811430,0.000000,0.002129,-0.000921,-0.002178,0.000669,0.001293,-0.000741,0.00125172,-0.00206581,0.02073621,-0.00086604,-0.01711958,-0.01238005
A,14,5.23000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018211,1.053130150,1.724495411,0.000432157,-0.894473493,-1.570638180,-0.010915369,0.076845117,0.064582542,-0.072388425,-0.027868012,0.077230580,-0.282939,-14.456555,6.139212,0.278058,-0.529799,0.068209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.050346,1.810755,0.000000,0.002656,-0.002615,-0.005679,0.000834,0.001914,-0.001288,0.00688544,0.00389231,0.02473085,0.01347028,-0.01994689,-0.01076288
A,15,5.24000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017710,1.053132534,1.724494696,0.000433378,-0.894473135,-1.570637941,0.012810046,0.089590758,0.055005964,-0.035960700,-0.064931884,0.034577947,0.374415,-14.360957,6.152209,0.271831,-0.543891,0.067041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049931,1.811132,0.000000,-0.001917,-0.002838,-0.008289,0.000276,-0.000315,-0.000040,0.00368331,0.01279036,0.02477800,0.02534116,-0.01193502,-0.01773559
A,16,5.25000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018243,1.053129077,1.724495292,0.000432606,-0.894473493,-1.570638537,0.040993758,-0.054525968,-0.100542352,0.001335334,-0.156087548,-0.010421318,-0.373093,-14.334069,6.055313,0.275432,-0.531878,0.067764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049942,1.810746,0.000000,0.004250,-0.007568,-0.005305,0.004164,0.002202,-0.001282,-0.00398684,0.00313977,0.02093767,-0.02092209,0.02475422,-0.00878234
A,17,5.26000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017341,1.053130031,1.724495411,0.000433717,-0.894474387,-1.570638299,-0.000843662,0.065062210,0.050455574,-0.016258454,-0.062782414,0.015978305,0.698454,-14.217498,6.125903,0.269418,-0.538159,0.065544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049953,1.811431,0.000000,0.001684,-0.002418,-0.005061,0.000404,0.001036,-0.000681,0.00746146,0.00525512,0.02246747,0.01154061,-0.01824387,-0.00199935
A,18,5.27000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018613,1.053129911,1.724494457,0.000433135,-0.894473195,-1.570638180,0.052886792,0.024676539,-0.003601009,0.022110566,-0.105651893,-0.027682154,-0.870571,-14.512046,6.102649,0.283913,-0.537930,0.069156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049938,1.810806,0.000000,-0.001393,-0.006415,-0.001833,0.003546,-0.000914,0.000665,-0.00031643,0.00352409,0.02240221,0.00019566,0.02282074,-0.01625501
A,19,5.28000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000019245,1.053129196,1.724493742,0.000433367,-0.894473970,-1.570638418,0.050872572,-0.193868309,-0.192684159,0.025769981,-0.149686605,-0.038531363,-0.166541,-14.186193,6.102311,0.286907,-0.534985,0.066481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049850,1.811056,0.000000,0.020417,-0.026680,-0.033296,0.008491,0.010069,-0.005993,-0.00442047,-0.00562096,0.00217992,-0.05263884,0.02598838,-0.01907495
A,20,5.29000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018796,1.053139210,1.724494100,0.000432518,-0.894474268,-1.570638776,-0.019911133,-0.016723968,-0.061564997,-0.079950318,-0.093107954,0.073822871,0.240002,-14.733485,6.268306,0.277280,-0.531409,0.067773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049919,1.810550,0.000000,0.000215,-0.002985,-0.002037,0.002087,0.000057,0.000186,0.00453514,0.00389971,0.02889973,-0.01434396,-0.01655653,-0.00326023
A,21,5.30000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017152,1.053127170,1.724495411,0.000433468,-0.894474447,-1.570639014,-0.002032803,0.002582096,-0.000334248,-0.030240051,-0.075288892,0.020048022,0.623044,-13.898788,5.906976,0.238326,-0.541514,0.066988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049910,1.810875,0.000000,-0.000136,-0.000388,-0.000058,0.000193,-0.000064,0.000081,0.00004844,0.00172265,0.01473002,-0.00158572,-0.00161405,0.00197649
A,22,5.31000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017975,1.053137183,1.724493265,0.000434483,-0.894474626,-1.570638895,0.002445368,-0.025104210,-0.055861447,0.009027309,-0.121695131,-0.029901640,0.011482,-14.875288,6.270748,0.299499,-0.540769,0.066478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049946,1.811292,0.000000,-0.000591,-0.002092,-0.003494,0.000929,-0.000223,0.000073,-0.00336575,-0.00441149,0.02719987,-0.02221615,0.00602916,0.00391768
A,23,5.32000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017253,1.053132415,1.724494576,0.000434011,-0.894474864,-1.570639014,-0.003387606,0.063536823,0.052997187,-0.020126794,-0.062628470,0.009858412,0.210721,-13.926649,6.031546,0.260439,-0.533055,0.067449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049969,1.811339,0.000000,0.001069,-0.002510,-0.002711,0.000892,0.000720,-0.000443,0.00041725,0.00276963,0.02340991,0.00839195,-0.01053832,-0.00480730
A,24,5.33000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000018374,1.053128600,1.724494815,0.000433181,-0.894474804,-1.570639133,0.018731732,0.016526807,-0.024975594,-0.033315603,-0.128789470,0.026076918,-0.785011,-14.268817,6.042231,0.281274,-0.532670,0.068110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049946,1.810611,0.000000,0.000313,-0.002357,0.000196,0.001562,0.000082,0.000070,0.00304623,0.00398705,0.02541208,-0.00494993,-0.00010625,-0.01246672
A,25,5.34000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,0.000017869,1.053130031,1.724495530,0.000433139,-0.894475162,-1.570639133,0.032265820,-0.078162715,-0.124076955,-0.025005816,-0.186138049,0.015545744,0.284008,-14.302650,6.136050,0.269939,-0.535574,0.067270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,295.835052,23.049957,1.810576,0.000000,0.005882,-0.008787,-0.009970,0.003947,0.002443,-0.001222,-0.00025991,-0.00205477,0.02400753,-0.03769591,0.00701768,-0.01369635
