seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
250,5.0000,reach,,-0.000009726,0.654343762,1.014785205,0.000004702,-1.207014461,-1.567450554,0.008900,0.000000
251,5.0200,reach,,-0.000009733,0.654846908,1.015565507,0.000004706,-1.207942575,-1.568655818,0.008900,0.000000
252,5.0400,reach,,-0.000009739,0.655238244,1.016172408,0.000004709,-1.208664440,-1.569593246,0.008900,0.000000
253,5.0600,reach,,-0.000009743,0.655517770,1.016605909,0.000004711,-1.209180059,-1.570262837,0.008900,0.000000
254,5.0800,reach,,-0.000009746,0.655685486,1.016866010,0.000004712,-1.209489430,-1.570664592,0.008900,0.000000
255,5.1000,reach,,-0.000009747,0.655741391,1.016952710,0.000004712,-1.209592554,-1.570798510,0.008900,0.000000
256,5.1200,approach,,-0.000009747,0.655741391,1.016952710,0.000004712,-1.209592554,-1.570798510,0.008900,0.000000
257,5.1400,approach,,-0.000009758,0.655817718,1.017086688,0.000004705,-1.209534904,-1.570798514,0.008900,0.000000
258,5.1600,approach,,-0.000009791,0.656046699,1.017488621,0.000004682,-1.209361956,-1.570798525,0.008900,0.000000
259,5.1800,approach,,-0.000009847,0.656428335,1.018158510,0.000004644,-1.209073708,-1.570798544,0.008900,0.000000
260,5.2000,approach,,-0.000009924,0.656962625,1.019096353,0.000004590,-1.208670162,-1.570798571,0.008900,0.000000
261,5.2200,approach,,-0.000010024,0.657649569,1.020302153,0.000004522,-1.208151316,-1.570798605,0.008900,0.000000
262,5.2400,approach,,-0.000010146,0.658489167,1.021775907,0.000004438,-1.207517172,-1.570798646,0.008900,0.000000
263,5.2600,approach,,-0.000010291,0.659481420,1.023517618,0.000004339,-1.206767729,-1.570798696,0.008900,0.000000
264,5.2800,approach,,-0.000010457,0.660626327,1.025527283,0.000004225,-1.205902986,-1.570798752,0.008900,0.000000
265,5.3000,approach,,-0.000010646,0.661923888,1.027804904,0.000004095,-1.204922945,-1.570798817,0.008900,0.000000
266,5.3200,approach,,-0.000010735,0.663372857,1.030350480,0.000004042,-1.203826347,-1.570798849,0.008900,0.000000
267,5.3400,approach,,-0.000010751,0.664973515,1.033164012,0.000004044,-1.202613474,-1.570798857,0.008900,0.000000
268,5.3600,approach,,-0.000010770,0.666726616,1.036245499,0.000004047,-1.201285090,-1.570798867,0.008900,0.000000
269,5.3800,approach,,-0.000010790,0.668632162,1.039594942,0.000004050,-1.199841194,-1.570798877,0.008900,0.000000
270,5.4000,approach,,-0.000010812,0.670688355,1.043212339,0.000004053,-1.198279992,-1.570798889,0.008900,0.000000
271,5.4200,approach,,-0.000010836,0.672896012,1.047097693,0.000004055,-1.196602297,-1.570798902,0.008900,0.000000
272,5.4400,approach,,-0.000010862,0.675255921,1.051251001,0.000004058,-1.194808899,-1.570798916,0.008900,0.000000
273,5.4600,approach,,-0.000010889,0.677766006,1.055672265,0.000004061,-1.192897721,-1.570798931,0.008900,0.000000
274,5.4800,approach,,-0.000010918,0.680427152,1.060361485,0.000004065,-1.190869648,-1.570798946,0.008900,0.000000
275,5.5000,approach,,-0.000010948,0.683239973,1.065318660,0.000004068,-1.188725297,-1.570798963,0.008900,0.000000
276,5.5200,approach,,-0.000010980,0.686201688,1.070543790,0.000004073,-1.186461883,-1.570798981,0.008900,0.000000
277,5.5400,approach,,-0.000011014,0.689315286,1.076036876,0.000004077,-1.184082397,-1.570798999,0.008900,0.000000
278,5.5600,approach,,-0.000011048,0.692577480,1.081797917,0.000004082,-1.181583551,-1.570799019,0.008900,0.000000
279,5.5800,approach,,-0.000011084,0.695990826,1.087826913,0.000004087,-1.178967903,-1.570799040,0.008900,0.000000
280,5.6000,approach,,-0.000011122,0.699552567,1.094123865,0.000004093,-1.176232694,-1.570799061,0.008900,0.000000
281,5.6200,approach,,-0.000011161,0.703265044,1.100688773,0.000004100,-1.173380266,-1.570799084,0.008900,0.000000
282,5.6400,approach,,-0.000011201,0.707110140,1.107495188,0.000004106,-1.170418950,-1.570799108,0.008900,0.000000
283,5.6600,approach,,-0.000011241,0.710977761,1.114342975,0.000004113,-1.167438786,-1.570799132,0.008900,0.000000
284,5.6800,approach,,-0.000011280,0.714841577,1.121190763,0.000004121,-1.164454816,-1.570799156,0.008900,0.000000
285,5.7000,approach,,-0.000011320,0.718704139,1.128038551,0.000004128,-1.161469593,-1.570799180,0.008900,0.000000
286,5.7200,approach,,-0.000011359,0.722563782,1.134886338,0.000004136,-1.158481450,-1.570799204,0.008900,0.000000
287,5.7400,approach,,-0.000011398,0.726421455,1.141734126,0.000004144,-1.155491338,-1.570799229,0.008900,0.000000
288,5.7600,approach,,-0.000011437,0.730277015,1.148581913,0.000004152,-1.152499112,-1.570799254,0.008900,0.000000
289,5.7800,approach,,-0.000011475,0.734129965,1.155429701,0.000004161,-1.149504277,-1.570799278,0.008900,0.000000
290,5.8000,approach,,-0.000011514,0.737981532,1.162277489,0.000004170,-1.146508059,-1.570799303,0.008900,0.000000
291,5.8200,approach,,-0.000011551,0.741829919,1.169125276,0.000004179,-1.143508660,-1.570799328,0.008900,0.000000
292,5.8400,approach,,-0.000011589,0.745677580,1.175973064,0.000004188,-1.140508536,-1.570799353,0.008900,0.000000
