method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,clearance_source,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,True,93.26477122306824,247.62525868415833,20.159702802976117,0.048442645498443904,0.08846266818779036,0.07637257287081976,0.034649285387375106,0.3854524523061984,0.46554611582268973,0.14028534001925316,0.08078865529319545,0,False,gt_pose+static,2.264409761666133,26.052218627929683,37.38455581665039,6.950000125914812,13.20000021904707,0.2736996679882877,0.2616546230132694,map_tf,controller_log,0.299,6228,4975,81,2369,1865,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,131.08949494361877,133.88898301124573,27.716334598799982,0.04871518685222081,0.13992122158048256,0.09400464391890324,0.05358710121945592,0.7975755081381751,0.5998089378481772,0.2848418500709675,0.12791373914616738,0,False,gt_pose+static,1.9280355879444,19.255624198913623,40.0511474609375,9.000000156462193,17.30000028014183,0.25275808739173716,0.2513067097201857,map_tf,controller_log,0.295,3401,2723,45,1301,2623,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,83.85819125175476,86.57833194732666,18.022816559070325,0.025246580739250988,0.060004052733024046,0.10515783271267777,0.0365760284704526,0.4747523053898298,0.5990051470839574,0.19528262387695794,0.37268120235368557,0,False,gt_pose+static,1.0388858673705152,1.6371560096740723,34.48626708984375,1.5500000454485416,7.450000133365393,0.21184533311141476,0.21077480743885862,map_tf,controller_log,0.297,2202,1710,58,737,1681,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,160.56163120269775,163.24097847938538,29.79397849500599,0.11141283527264088,0.13239842299906124,0.08523946410790405,0.09673545343968329,0.7989987524133373,0.6001584050806199,0.20143623772851285,5.551115123125783e-17,0,False,gt_pose+static,2.0517068066608126,14.419097900390623,41.67359161376953,2.2500000558793545,7.2500001303851604,0.22455217823624313,0.22297227143094464,map_tf,controller_log,0.289,4126,3286,54,1524,3210,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,153.71178007125854,156.27197933197021,26.252354863374947,0.04640852204553345,0.0884477866251836,0.09299144932706228,0.03895155618532964,0.6090326691118717,0.5986485870435354,0.163053405534014,0.050000000000000044,0,False,gt_pose+static,2.7407054996829694,20.441991615295407,40.03558349609375,-0.3999999836087227,7.750000137835741,0.2583782166485599,0.25695362314056747,map_tf,controller_log,0.293,3980,3175,52,1325,3075,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,81.87994074821472,84.48025846481323,17.04865163089916,0.046900182836820514,0.0799318951850575,0.11231823254664286,0.035878272540718854,0.4719295860251235,0.5992441785777447,0.12379603166475205,-0.0047126043736724355,1,True,gt_pose+static,1.1180925372355732,1.7823044240474695,34.21832275390625,-0.09999997913837433,0.45000002905726433,0.2690293893438285,0.26793315052499406,map_tf,controller_log,0.297,2180,1763,28,561,1638,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,True,78.83654356002808,81.75663757324219,17.36292231721412,0.026664250458337355,0.08763283606727605,0.1287099862275767,0.030788009353777138,0.4900384264767233,0.5992110356903423,0.16575707220879468,0.2830951894845301,0,False,gt_pose+static,0.9380405879283208,0.6238808721303909,39.044517517089844,16.900000274181366,10.650000181049109,0.24947755185816534,0.2481453082461465,map_tf,controller_log,0.285,2088,1662,27,806,1578,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,80.73972415924072,83.33912706375122,17.941406489960645,0.02678703488503241,0.06274748879294502,0.10468108621645014,0.04026216253329122,0.5740076261408964,0.5992956406439458,0.21639139861126405,0.41063352017759486,0,False,gt_pose+static,0.6255272863042695,0.5026200056076046,30.72111701965332,16.900000274181366,16.850000273436308,0.2612019595760125,0.25974029390580505,map_tf,controller_log,0.291,2130,1691,28,767,1614,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,77.45925998687744,80.05974388122559,17.005805574636046,0.03203991086490763,0.10389070346013489,0.06708175813563486,0.026078251249314104,0.7856039004745633,0.5999537982477738,0.20270961955453862,0.351920240520265,0,False,gt_pose+static,1.4099181102072038,1.8445914089679716,36.80692672729492,8.700000151991844,0.30000002682209015,0.25894206636853384,0.2573662823751115,map_tf,controller_log,0.294,2069,1579,27,829,1550,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,True,90.68375992774963,93.24363398551941,19.16063571112604,0.0708073278541295,0.1420284665863123,0.1264432330753632,0.06707842781655377,0.799528194568796,0.6011014798662973,0.3829171771955034,0.16888363078772012,0,False,gt_pose+static,1.7274994207120689,17.75572891235347,36.192317962646484,3.1500000692903996,4.150000084191561,0.24783465937666502,0.2467523844610976,map_tf,controller_log,0.299,2410,1916,32,940,1817,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
gmpc_cbf,scan_seed11,True,70.10719513893127,72.86751294136047,15.824245199914916,0.02469639849314217,0.0724367803414403,0.0892198343211777,0.03512153875983653,0.5400266211914598,0.490460589457384,0.09693765139303544,0.39641941385920604,0,False,gt_pose+static,0.4512649241009102,0.31457240581512447,30.77552032470703,10.85000018402934,6.550000119954348,0.2517262863309615,0.25041324346584043,map_tf,controller_log,0.293,1894,1513,48,674,1403,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed11
gmpc_cbf,scan_seed12,True,154.5677661895752,157.3680293560028,30.16682001699529,0.11238579121557041,0.1258715102110602,0.13248303352267754,0.10694678664452038,0.8005007795563347,0.6004549612792405,0.43245709115857134,0.06650305864250383,0,False,gt_pose+static,3.6843077639361943,29.384055423736566,42.54741287231445,1.7500000484287739,3.500000074505806,0.20341880378985294,0.20180856269797295,map_tf,controller_log,0.299,4006,3184,52,1535,3098,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed12
gmpc_cbf,scan_seed13,True,121.48350143432617,123.96327328681946,23.89257673875261,0.06781454973686052,0.10331962219810406,0.13454027814765684,0.06967218061396005,0.6662509737851791,0.60030014600517,0.28686906709820176,0.10520418205792881,0,False,gt_pose+static,3.557275440714607,29.080656337738038,41.19744873046875,2.9500000663101673,10.450000178068876,0.2680888322970568,0.26722416522237497,map_tf,controller_log,0.296,3114,2490,76,1147,2444,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed13
gmpc_cbf,scan_seed14,True,82.31976866722107,85.15998244285583,17.77839075065232,0.10148508934775304,0.12276518110399219,0.1533401639858814,0.13982870058262378,0.7998977166497464,0.5999422330949202,0.41554641101301104,0.2645922648187961,0,False,gt_pose+static,1.3724609680053097,3.3571496725081995,41.82795333862305,5.45000010356307,13.050000216811895,0.25840271372852025,0.2568461040510531,map_tf,controller_log,0.293,2160,1722,29,720,1647,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed14
