seed,start_x,start_y,goal_x,goal_y,straight_m
1,17.18,0.16,4.25,12.72,18.03
2,8.5,15.22,1.85,-0.43,17.0
3,17.34,15.95,3.63,4.51,17.86
4,17.31,0.41,11.85,12.39,13.17
5,1.88,2.56,9.02,14.02,13.5
6,17.26,0.48,14.84,16.45,16.15
7,12.31,-0.03,0.79,10.37,15.52
8,17.49,8.22,2.95,4.3,15.06
9,4.11,-0.09,14.25,14.18,17.51
10,4.07,0.23,6.4,12.82,12.8
