method,run,success,arrival_time_s,total_time_s,path_length_m,tracking_rmse_m,smooth_vx,smooth_vy,smooth_wz,jerk_vx,jerk_vy,jerk_wz,min_clearance_m,collision_count,collided,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,goal_xy_x,goal_xy_y,final_dist_to_goal_m,min_dist_to_goal_m,pose_source,success_source,controller_arrival_dist_m,n_odom,n_cmd,n_plan,n_obstacles,n_solve_time,bag
gmpc_cbf,scan_seed1,False,nan,207.22525215148926,20.298819515789503,6.2836269930384185,0.1425784560576939,0.1168803976916578,0.1580289877089774,0.18720466359648905,0.10004664518058412,0.2885462071250435,0.20826510796396736,0,False,1.0151003772899883,0.6994650185108184,28.353572845458984,17.000000275671482,17.000000275671482,16.782072806197764,14.715199839494364,map_tf,none,nan,6228,4990,13,924,4144,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed1
gmpc_cbf,scan_seed2,True,151.32863783836365,154.08881044387817,38.23583987201784,0.21569984953752594,0.10163421928653765,0.06307923325667011,0.2223441803805323,0.5669894864371785,0.2420742671633607,0.6527837596853794,0.26663587720673454,0,False,1.5595167761995892,6.3677957534790055,31.80778694152832,17.000000275671482,17.000000275671482,0.16376355596492756,0.16376355596492756,map_tf,controller_log,0.187,4857,3882,108,1434,3033,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed2
gmpc_cbf,scan_seed3,True,156.74534726142883,159.3054769039154,37.78621362614122,0.10096647478282969,0.11472995096771407,0.0802976295557811,0.27579619935999133,0.5548554049129109,0.23027626518005623,0.6788223520667764,-0.009752680732223351,1,True,1.846251559518515,22.91548738479614,28.38263511657715,17.000000275671482,17.000000275671482,0.1837827636225813,0.1837827636225813,map_tf,controller_log,0.196,5047,4035,53,1452,3140,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed3
gmpc_cbf,scan_seed4,True,152.03351020812988,154.67348885536194,45.9985725788274,0.3731726900880031,0.10884230687727452,0.07708640248837913,0.26009764440006494,0.5492198986906313,0.23840637404350257,0.6936493899361131,-0.042900594624276006,1,True,1.7230975150690337,14.468937110900866,31.12423324584961,17.000000275671482,17.000000275671482,0.17581199942109316,0.17581199942109316,map_tf,controller_log,0.193,4985,3997,50,1491,3047,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed4
gmpc_cbf,scan_seed5,True,150.24507117271423,152.96478056907654,36.31520711615041,0.13350630238868522,0.11668643469820363,0.07305361290611485,0.2638768025145409,0.5570780063892513,0.23527354746771048,0.6882644075052418,-0.19563031226184596,1,True,2.094060642020582,23.756043434143066,29.91042137145996,17.000000275671482,17.000000275671482,0.17542748937263009,0.17542748937263009,map_tf,controller_log,0.193,4980,3979,98,1212,3011,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed5
gmpc_cbf,scan_seed6,True,159.17542791366577,161.69556140899658,35.54462900056557,0.07264103740659938,0.10308415662521234,0.05949262548028782,0.24247563860273388,0.5550619287115813,0.19898489492824206,0.6534917516085256,0.24407996880914828,0,False,1.2839654467689592,1.7712333917617302,28.9139347076416,17.000000275671482,17.000000275671482,0.19794983463588006,0.19794983463588006,map_tf,controller_log,0.195,5108,4091,58,1385,3193,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed6
gmpc_cbf,scan_seed7,False,nan,208.2332923412323,45.68805847020914,0.9688993167892487,0.1304499651032818,0.1329699216448897,0.24913163900010657,0.43490823831708936,0.22329655951919175,0.5637209717567642,-0.12233157167443243,1,True,1.3588322405948214,2.5337600231170607,32.30884552001953,17.000000275671482,17.000000275671482,7.133120695216032,6.538650047234858,map_tf,none,nan,6242,4993,40,1611,4165,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed7
gmpc_cbf,scan_seed8,True,145.37911009788513,148.09914755821228,35.18750329664434,0.10739396542024998,0.10962998649930532,0.07524019408822019,0.25057716698585203,0.5462952364440697,0.20974498246499984,0.6995772388165923,0.037696530109552706,0,False,2.008080403404924,21.343486022949197,27.29822540283203,17.000000275671482,17.000000275671482,0.17219575242179747,0.17219575242179747,map_tf,controller_log,0.194,4735,3796,106,1350,2912,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed8
gmpc_cbf,scan_seed9,True,143.39347100257874,146.03371953964233,33.03295415191678,0.1049450488738063,0.09454761564096505,0.0506984780058131,0.21606492558198884,0.5505123187956338,0.24909435801691748,0.6354100931403138,-0.5143192210590861,3,True,1.2208006057185727,1.3777660489082308,27.86448860168457,17.000000275671482,17.000000275671482,0.17589266379389676,0.17589266379389676,map_tf,controller_log,0.192,4677,3745,53,1387,2874,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed9
gmpc_cbf,scan_seed10,False,nan,208.41460347175598,18.49069695773908,4.291899386512609,0.14666740821081672,0.11766663356173723,0.28336832016347513,0.22105901083538704,0.10794383855565408,0.2800295826472321,0.2642066447615008,0,False,0.8424557140081385,0.841567003726959,25.14850425720215,17.000000275671482,17.000000275671482,12.586153846494597,12.527984970345942,map_tf,none,nan,6238,4994,14,1380,4169,/home/howardchen/masterthesis/evaluation/bags/gmpc_cbf__scan_seed10
