step,t,base_x,base_y,base_z,base_yaw_deg,cmd_joint1,cmd_joint2,cmd_joint3,cmd_joint4,cmd_joint5,cmd_joint6,q_joint1,q_joint2,q_joint3,q_joint4,q_joint5,q_joint6,qd_joint1,qd_joint2,qd_joint3,qd_joint4,qd_joint5,qd_joint6,meff_joint1,meff_joint2,meff_joint3,meff_joint4,meff_joint5,meff_joint6
16,10.65000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021208,1.051750064,1.724586606,0.000450157,-0.894472778,-1.570633054,0.000096823,-0.015480684,0.006048303,-0.004335334,-0.005928415,-0.001680963,0.000010,-14.337551,6.113460,0.274909,-0.536141,0.067335
17,10.66000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021208,1.051750064,1.724586725,0.000450160,-0.894472837,-1.570632935,0.000096769,-0.015480235,0.006049034,-0.004336467,-0.005898357,-0.001664697,0.000008,-14.337551,6.113461,0.274909,-0.536142,0.067335
18,10.67000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021208,1.051750064,1.724586725,0.000450160,-0.894472897,-1.570633292,0.000096817,-0.015479746,0.006048497,-0.004335959,-0.005925711,-0.001679576,0.000010,-14.337554,6.113461,0.274909,-0.536142,0.067335
19,10.68000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021208,1.051750064,1.724586725,0.000450164,-0.894473016,-1.570633173,0.000094863,-0.015485963,0.006074154,-0.004381360,-0.004421851,-0.000871013,0.000010,-14.337566,6.113463,0.274910,-0.536142,0.067335
20,10.69000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450156,-0.894472778,-1.570632815,0.000094950,-0.015486085,0.006072683,-0.004379467,-0.004419004,-0.000869480,0.000010,-14.337542,6.113452,0.274910,-0.536141,0.067335
21,10.70000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450154,-0.894472778,-1.570632696,0.000096828,-0.015480003,0.006048148,-0.004335617,-0.005890646,-0.001660687,0.000008,-14.337601,6.113492,0.274909,-0.536145,0.067335
22,10.71000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450157,-0.894472837,-1.570633173,0.000096806,-0.015479692,0.006048587,-0.004336161,-0.005932171,-0.001683175,0.000009,-14.337599,6.113489,0.274909,-0.536145,0.067335
23,10.72000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450158,-0.894472837,-1.570632935,0.000096850,-0.015479971,0.006047946,-0.004335064,-0.005894351,-0.001662465,0.000010,-14.337553,6.113457,0.274910,-0.536141,0.067335
24,10.73000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450162,-0.894472897,-1.570633292,0.000096786,-0.015479657,0.006049014,-0.004336646,-0.005929925,-0.001681853,0.000009,-14.337608,6.113494,0.274909,-0.536146,0.067335
25,10.74000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450162,-0.894472837,-1.570633173,0.000094899,-0.015485955,0.006073547,-0.004380532,-0.004421843,-0.000870969,0.000011,-14.337539,6.113445,0.274910,-0.536140,0.067335
26,10.75000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450155,-0.894472718,-1.570632815,0.000094910,-0.015485968,0.006073317,-0.004380336,-0.004419264,-0.000869627,0.000009,-14.337568,6.113468,0.274910,-0.536142,0.067335
27,10.76000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450150,-0.894472599,-1.570632696,0.000094898,-0.015486035,0.006073329,-0.004380549,-0.004421334,-0.000870906,0.000009,-14.337582,6.113475,0.274910,-0.536143,0.067335
28,10.77000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450144,-0.894472361,-1.570632458,0.000094958,-0.015486160,0.006072442,-0.004379298,-0.004420033,-0.000870178,0.000010,-14.337561,6.113461,0.274909,-0.536142,0.067335
29,10.78000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450141,-0.894472241,-1.570632219,0.000096840,-0.015479848,0.006047770,-0.004335107,-0.005905547,-0.001668767,0.000007,-14.337600,6.113491,0.274909,-0.536145,0.067335
30,10.79000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450143,-0.894472301,-1.570632815,0.000096837,-0.015479888,0.006048097,-0.004335534,-0.005940844,-0.001687886,0.000010,-14.337610,6.113493,0.274910,-0.536145,0.067335
31,10.80000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450144,-0.894472241,-1.570632696,0.000096865,-0.015479905,0.006047768,-0.004334775,-0.005910157,-0.001671031,0.000009,-14.337552,6.113458,0.274910,-0.536141,0.067335
32,10.81000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450146,-0.894472301,-1.570632696,0.000096850,-0.015479777,0.006048054,-0.004335163,-0.005935116,-0.001684531,0.000009,-14.337593,6.113486,0.274910,-0.536144,0.067335
33,10.82000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450146,-0.894472241,-1.570632577,0.000096850,-0.015479830,0.006047755,-0.004334872,-0.005906528,-0.001669147,0.000009,-14.337557,6.113460,0.274909,-0.536141,0.067335
34,10.83000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450146,-0.894472182,-1.570632696,0.000094836,-0.015486071,0.006074421,-0.004382093,-0.004419380,-0.000869904,0.000010,-14.337600,6.113484,0.274910,-0.536144,0.067335
35,10.84000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021211,1.051750064,1.724586725,0.000450146,-0.894472122,-1.570632458,0.000096791,-0.015479638,0.006048664,-0.004336147,-0.005909447,-0.001670717,0.000007,-14.337570,6.113472,0.274909,-0.536143,0.067335
36,10.85000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450153,-0.894472241,-1.570633173,0.000096792,-0.015479881,0.006049127,-0.004336758,-0.005941906,-0.001688338,0.000011,-14.337624,6.113499,0.274910,-0.536146,0.067335
37,10.86000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450158,-0.894472301,-1.570633411,0.000096763,-0.015479576,0.006049641,-0.004337105,-0.005922195,-0.001677440,0.000008,-14.337562,6.113466,0.274910,-0.536143,0.067335
38,10.87000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450163,-0.894472420,-1.570633650,0.000096767,-0.015479645,0.006049712,-0.004337056,-0.005918736,-0.001675458,0.000009,-14.337582,6.113473,0.274910,-0.536143,0.067335
39,10.88000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021210,1.051750064,1.724586725,0.000450168,-0.894472539,-1.570633411,0.000096753,-0.015479590,0.006049914,-0.004337098,-0.005912251,-0.001671840,0.000009,-14.337574,6.113473,0.274910,-0.536143,0.067335
40,10.89000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450175,-0.894472659,-1.570633888,0.000096699,-0.015479551,0.006050528,-0.004338350,-0.005908296,-0.001669972,0.000009,-14.337595,6.113480,0.274909,-0.536144,0.067335
41,10.90000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450178,-0.894472837,-1.570633769,0.000096800,-0.015479673,0.006049247,-0.004336126,-0.005903182,-0.001666871,0.000010,-14.337550,6.113454,0.274910,-0.536141,0.067335
42,10.91000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450185,-0.894473016,-1.570634246,0.000096704,-0.015479494,0.006050562,-0.004338196,-0.005912710,-0.001672213,0.000008,-14.337610,6.113494,0.274909,-0.536145,0.067335
43,10.92000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450189,-0.894473195,-1.570634127,0.000096809,-0.015479891,0.006049315,-0.004336174,-0.005893868,-0.001661754,0.000011,-14.337557,6.113454,0.274910,-0.536141,0.067335
44,10.93000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450188,-0.894473255,-1.570633888,0.000096829,-0.015479483,0.006048725,-0.004335360,-0.005917448,-0.001674581,0.000008,-14.337559,6.113461,0.274909,-0.536142,0.067335
45,10.94000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450190,-0.894473374,-1.570633650,0.000094875,-0.015485924,0.006074271,-0.004381204,-0.004422874,-0.000871369,0.000011,-14.337582,6.113469,0.274910,-0.536142,0.067335
46,10.95000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450182,-0.894473195,-1.570633292,0.000096981,-0.015479794,0.006046400,-0.004332467,-0.005941928,-0.001687900,0.000010,-14.337553,6.113455,0.274909,-0.536141,0.067335
47,10.96000,0.00000000,0.00000000,0.00000000,0.0000000,-0.000013934,1.049600140,1.725317310,0.000005611,-0.895087034,-1.570801910,-0.000021209,1.051750064,1.724586725,0.000450180,-0.894473255,-1.570633292,0.000094847,-0.015485900,0.006074362,-0.004381905,-0.004419593,-0.000869911,0.000009,-14.337597,6.113488,0.274909,-0.536145,0.067335
