seq,t,phase,event,joint1,joint2,joint3,joint4,joint5,joint6,finger,expected_opening
46,0.9200,reach,,-0.000001458,0.098109573,0.152152658,0.000000705,-0.180974711,-0.235016994,0.008900,0.000000
47,0.9400,reach,,-0.000001502,0.101036466,0.156691814,0.000000726,-0.186373711,-0.242028233,0.008900,0.000000
48,0.9600,reach,,-0.000001545,0.103963359,0.161230969,0.000000747,-0.191772712,-0.249039472,0.008900,0.000000
49,0.9800,reach,,-0.000001589,0.106890252,0.165770124,0.000000768,-0.197171713,-0.256050711,0.008900,0.000000
50,1.0000,reach,,-0.000001632,0.109817146,0.170309280,0.000000789,-0.202570714,-0.263061950,0.008900,0.000000
51,1.0200,reach,,-0.000001676,0.112744039,0.174848435,0.000000810,-0.207969715,-0.270073189,0.008900,0.000000
52,1.0400,reach,,-0.000001719,0.115670932,0.179387590,0.000000831,-0.213368716,-0.277084428,0.008900,0.000000
53,1.0600,reach,,-0.000001763,0.118597826,0.183926746,0.000000852,-0.218767716,-0.284095667,0.008900,0.000000
54,1.0800,reach,,-0.000001806,0.121524719,0.188465901,0.000000873,-0.224166717,-0.291106906,0.008900,0.000000
55,1.1000,reach,,-0.000001850,0.124451612,0.193005057,0.000000894,-0.229565718,-0.298118145,0.008900,0.000000
56,1.1200,reach,,-0.000001893,0.127378505,0.197544212,0.000000915,-0.234964719,-0.305129384,0.008900,0.000000
57,1.1400,reach,,-0.000001937,0.130305399,0.202083367,0.000000936,-0.240363720,-0.312140623,0.008900,0.000000
58,1.1600,reach,,-0.000001980,0.133232292,0.206622523,0.000000957,-0.245762721,-0.319151862,0.008900,0.000000
59,1.1800,reach,,-0.000002024,0.136159185,0.211161678,0.000000979,-0.251161722,-0.326163101,0.008900,0.000000
60,1.2000,reach,,-0.000002067,0.139086079,0.215700833,0.000001000,-0.256560722,-0.333174340,0.008900,0.000000
61,1.2200,reach,,-0.000002111,0.142012972,0.220239989,0.000001021,-0.261959723,-0.340185579,0.008900,0.000000
62,1.2400,reach,,-0.000002154,0.144939865,0.224779144,0.000001042,-0.267358724,-0.347196818,0.008900,0.000000
63,1.2600,reach,,-0.000002198,0.147866758,0.229318300,0.000001063,-0.272757725,-0.354208057,0.008900,0.000000
64,1.2800,reach,,-0.000002241,0.150793652,0.233857455,0.000001084,-0.278156726,-0.361219296,0.008900,0.000000
65,1.3000,reach,,-0.000002285,0.153720545,0.238396610,0.000001105,-0.283555727,-0.368230535,0.008900,0.000000
66,1.3200,reach,,-0.000002328,0.156647438,0.242935766,0.000001126,-0.288954727,-0.375241774,0.008900,0.000000
67,1.3400,reach,,-0.000002372,0.159574332,0.247474921,0.000001147,-0.294353728,-0.382253013,0.008900,0.000000
68,1.3600,reach,,-0.000002415,0.162501225,0.252014076,0.000001168,-0.299752729,-0.389264252,0.008900,0.000000
69,1.3800,reach,,-0.000002459,0.165428118,0.256553232,0.000001189,-0.305151730,-0.396275491,0.008900,0.000000
70,1.4000,reach,,-0.000002502,0.168355011,0.261092387,0.000001210,-0.310550731,-0.403286730,0.008900,0.000000
71,1.4200,reach,,-0.000002546,0.171281905,0.265631543,0.000001231,-0.315949732,-0.410297969,0.008900,0.000000
72,1.4400,reach,,-0.000002589,0.174208798,0.270170698,0.000001252,-0.321348733,-0.417309208,0.008900,0.000000
73,1.4600,reach,,-0.000002633,0.177135691,0.274709853,0.000001273,-0.326747733,-0.424320447,0.008900,0.000000
74,1.4800,reach,,-0.000002676,0.180062585,0.279249009,0.000001294,-0.332146734,-0.431331686,0.008900,0.000000
75,1.5000,reach,,-0.000002720,0.182989478,0.283788164,0.000001315,-0.337545735,-0.438342925,0.008900,0.000000
76,1.5200,reach,,-0.000002763,0.185916371,0.288327319,0.000001336,-0.342944736,-0.445354164,0.008900,0.000000
77,1.5400,reach,,-0.000002807,0.188843264,0.292866475,0.000001357,-0.348343737,-0.452365403,0.008900,0.000000
78,1.5600,reach,,-0.000002850,0.191770158,0.297405630,0.000001378,-0.353742738,-0.459376642,0.008900,0.000000
79,1.5800,reach,,-0.000002894,0.194697051,0.301944786,0.000001399,-0.359141738,-0.466387881,0.008900,0.000000
80,1.6000,reach,,-0.000002937,0.197623944,0.306483941,0.000001420,-0.364540739,-0.473399120,0.008900,0.000000
81,1.6200,reach,,-0.000002981,0.200550838,0.311023096,0.000001441,-0.369939740,-0.480410359,0.008900,0.000000
82,1.6400,reach,,-0.000003024,0.203477731,0.315562252,0.000001462,-0.375338741,-0.487421598,0.008900,0.000000
83,1.6600,reach,,-0.000003068,0.206404624,0.320101407,0.000001483,-0.380737742,-0.494432837,0.008900,0.000000
84,1.6800,reach,,-0.000003111,0.209331517,0.324640562,0.000001504,-0.386136743,-0.501444076,0.008900,0.000000
85,1.7000,reach,,-0.000003155,0.212258411,0.329179718,0.000001525,-0.391535744,-0.508455315,0.008900,0.000000
86,1.7200,reach,,-0.000003198,0.215185304,0.333718873,0.000001546,-0.396934744,-0.515466554,0.008900,0.000000
87,1.7400,reach,,-0.000003242,0.218112197,0.338258029,0.000001567,-0.402333745,-0.522477793,0.008900,0.000000
88,1.7600,reach,,-0.000003285,0.221039091,0.342797184,0.000001588,-0.407732746,-0.529489032,0.008900,0.000000
